"neighborhood","property_type","units","avg_size","distance_to_public_transport","distance_to_schools","distance_to_park","recent_sale_price","year_built","crime_rate"
"Congress Heights","Townhouse",37,1250,0.6,0.18,0.94,1161139,2008,17.6
"Adams Morgan","Townhouse",38,1530,0.4,0.69,0.37,NA,2013,12.4
"Congress Heights","Condominium",18,1311,0.43,0.73,0.78,519971,1958,5.2
"Anacostia","Single Family Home",38,1466,0.65,0.5,0.15,1985623,1988,6.5
"Woodley Park","Townhouse",27,904,0.63,0.1,0.75,770588,1989,7.9
"Adams Morgan","Condominium",30,1287,0.22,0.26,0.43,1535631,1970,11.1
"Congress Heights","Single Family Home",13,972,0.52,0.28,0.94,1824391,1951,12.6
"Columbia Heights","Condominium",23,1328,0.82,0.95,0.22,1225119,1977,17.9
"Kingman Park","Townhouse",33,1097,0.65,0.21,0.45,1132211,1980,22.3
"Kingman Park","Townhouse",20,1001,0.33,0.86,0.51,1396042,1992,23.9
"Anacostia","Townhouse",29,1092,0.28,0.5,0.95,1163141,1957,8.3
"Columbia Heights","Condominium",15,1355,0.83,0.51,0.88,1663258,2004,18.3
"Shaw","Condominium",11,1241,0.55,0.41,0.87,885359,2005,14
"Shaw","Single Family Home",35,1246,0.13,0.43,0.36,1779261,2019,10.8
"Mount Pleasant","Condominium",26,1362,0.89,0.3,0.17,1670533,2002,9.8
"Southwest Waterfront","Single Family Home",26,1351,0.37,0.58,0.43,596293,2001,12
"Brookland","Townhouse",7,1083,0.54,0.13,0.93,NA,2012,17.3
"Petworth","Single Family Home",32,1227,0.85,0.55,0.3,1487499,1984,24.7
"Van Ness","Condominium",7,1111,0.87,0.74,0.66,608732,1984,14.3
"Capitol Hill","Single Family Home",3,1258,0.24,0.1,0.21,1326340,1982,8.1
"Woodley Park","Townhouse",16,1163,0.6,0.83,0.79,1701905,1985,22.2
"Congress Heights","Condominium",20,1320,0.26,0.4,0.67,638164,2006,11.4
"Adams Morgan","Condominium",7,888,0.42,0.2,0.98,1697393,1995,20.7
"Anacostia","Condominium",32,739,0.48,0.27,0.19,1374233,1973,16.8
"Van Ness","Townhouse",22,1253,0.2,0.12,0.67,575115,1971,9.5
"Adams Morgan","Condominium",38,1784,0.13,0.26,0.24,778615,1961,18.2
"Trinidad","Single Family Home",36,904,0.26,0.16,0.74,1325936,2010,9.4
"Anacostia","Townhouse",32,1073,0.59,0.43,0.38,1796573,2018,12
"Van Ness","Condominium",21,1306,0.46,0.32,0.86,543022,2017,9.5
"U Street Corridor","Condominium",8,1140,0.89,0.36,0.19,850438,1991,10.9
"Congress Heights","Townhouse",17,1001,0.87,0.21,0.51,NA,2004,10.8
"Congress Heights","Single Family Home",3,1402,0.42,0.52,0.37,1428835,2011,12.9
"Shaw","Condominium",10,1069,0.46,0.23,0.92,1676872,1964,8.8
"Trinidad","Condominium",29,1023,0.28,0.97,0.29,1619072,2001,12.9
"Van Ness","Condominium",30,962,0.34,0.25,0.62,786966,1968,22.3
"Adams Morgan","Townhouse",6,904,0.6,0.59,0.51,1215711,1956,5.3
"Mount Pleasant","Condominium",19,1433,0.2,0.76,0.47,1729998,1955,17.2
"Kingman Park","Single Family Home",25,916,0.14,0.47,0.24,507134,1978,20.8
"Congress Heights","Townhouse",29,1219,0.66,0.27,0.12,638298,1958,10.6
"Petworth","Single Family Home",35,1436,0.15,0.64,0.74,791531,2014,23.9
"Southwest Waterfront","Condominium",5,1489,0.24,0.15,0.92,1189907,1972,12
"Adams Morgan","Condominium",8,900,0.77,0.18,0.93,923405,1995,19.4
"Georgetown","Single Family Home",5,1400,0.17,0.22,0.85,NA,1958,5.6
"Woodley Park","Condominium",33,1310,0.52,0.73,0.42,NA,1988,14.6
"Mount Pleasant","Townhouse",8,1489,0.13,0.61,0.15,NA,1972,15.5
"Trinidad","Single Family Home",10,1136,0.62,0.96,0.68,1950189,2014,10.3
"Mount Pleasant","Townhouse",39,1316,0.8,0.81,0.81,577844,2007,8.2
"Congress Heights","Single Family Home",35,1033,0.64,0.38,0.15,1063486,2003,18.3
"Van Ness","Townhouse",8,1364,0.32,0.47,0.61,1224720,1975,11.1
"Woodley Park","Condominium",30,1101,0.67,0.28,0.18,1200901,1966,18.3
"Deanwood","Townhouse",24,1180,0.21,0.64,0.81,1510331,1998,8.2
"Dupont Circle","Single Family Home",15,1336,0.43,0.48,0.55,1142425,2000,13.1
"Dupont Circle","Single Family Home",27,1259,0.43,0.15,0.96,1052722,2020,12.7
"Van Ness","Condominium",40,1401,0.36,0.5,0.48,1143150,1991,13.1
"Brookland","Condominium",40,1495,0.65,0.65,0.3,1356951,1991,18.5
"Deanwood","Condominium",38,896,0.41,0.39,0.62,1713911,1961,11.7
"Kingman Park","Townhouse",27,1238,0.77,0.52,0.97,1255319,2006,13
"Anacostia","Condominium",5,1298,0.69,0.91,0.17,1668547,1973,21.5
"Van Ness","Condominium",25,1266,0.69,0.63,0.41,1129610,1995,18.9
"Brookland","Condominium",5,1112,0.65,0.68,0.12,NA,2008,7.3
"U Street Corridor","Single Family Home",34,1010,0.82,0.13,0.27,799411,1954,20.4
"Southwest Waterfront","Single Family Home",4,1439,0.71,0.62,0.81,1757934,1993,9.2
"Columbia Heights","Condominium",4,1263,0.33,0.61,0.12,NA,2018,20.2
"Woodley Park","Single Family Home",6,1253,0.6,0.93,0.47,1903106,1996,6.4
"U Street Corridor","Townhouse",4,1218,0.71,0.41,0.92,1410743,1952,22.6
"Deanwood","Single Family Home",23,1214,0.4,0.7,0.44,NA,2011,6.1
"Mount Pleasant","Townhouse",14,1212,0.57,0.57,0.23,1659028,1994,8.8
"Mount Pleasant","Condominium",35,952,0.37,0.83,0.28,1091609,1991,18.7
"Adams Morgan","Single Family Home",4,1196,0.77,0.77,0.91,1508384,1974,15.1
"Van Ness","Townhouse",34,1183,0.54,0.54,0.76,1986368,1962,17.3
"Woodley Park","Single Family Home",35,1437,0.34,0.88,0.44,949012,1966,14.6
"Deanwood","Single Family Home",20,1144,0.64,0.97,0.16,1388058,2007,7.7
"Congress Heights","Condominium",17,1161,0.75,0.73,0.82,821381,1997,8.6
"Brookland","Townhouse",38,928,0.37,0.64,0.59,NA,1963,13
"Trinidad","Single Family Home",27,1278,0.36,0.61,0.17,835082,1995,9.3
"Brookland","Single Family Home",28,1290,0.68,0.61,0.35,856307,1982,21.7
"Anacostia","Single Family Home",23,1076,0.36,0.54,0.38,1426230,1958,16.8
"Southwest Waterfront","Townhouse",39,1058,0.69,0.16,0.24,772908,1984,8.3
"Foggy Bottom","Condominium",26,1334,0.58,0.94,0.89,623876,2012,11.4
"Woodley Park","Single Family Home",19,1084,0.15,0.4,0.76,840820,2011,20.2
"Logan Circle","Condominium",35,878,0.27,0.14,0.92,1449637,1981,13.3
"U Street Corridor","Condominium",34,954,0.25,0.33,0.57,1789172,1962,18.8
"Georgetown","Single Family Home",12,1127,0.58,0.57,0.61,NA,1975,18.2
"Logan Circle","Condominium",25,1224,0.15,0.5,0.12,1983545,1969,22.4
"Deanwood","Single Family Home",29,1034,0.13,0.58,0.89,1875392,1957,16.1
"Logan Circle","Single Family Home",31,1241,0.41,0.37,0.72,659229,1982,24.2
"U Street Corridor","Single Family Home",27,915,0.77,0.17,0.18,1844040,1984,8.7
"U Street Corridor","Single Family Home",31,1096,0.61,0.87,0.34,1495967,1967,22.6
"Woodley Park","Condominium",10,1088,0.52,0.77,0.63,1721302,1987,17.7
"U Street Corridor","Townhouse",19,1052,0.3,0.75,0.52,1172494,1994,20.4
"Dupont Circle","Condominium",31,1232,0.47,0.55,0.2,1316440,2020,24.3
"Logan Circle","Townhouse",18,1102,0.82,0.53,0.27,1748016,2002,5.7
"Foggy Bottom","Condominium",17,1038,0.57,0.2,0.67,1767070,1957,24.4
"Georgetown","Single Family Home",16,1070,0.53,0.59,0.5,1675710,1956,18.4
"Mount Pleasant","Condominium",38,1628,0.36,0.14,0.35,1132715,1963,21.5
"Anacostia","Single Family Home",11,1005,0.36,0.5,0.9,1206283,1972,11.4
"Adams Morgan","Condominium",38,990,0.89,0.91,0.66,1654868,1992,18.7
"Woodley Park","Condominium",22,1416,0.35,0.29,0.83,1952100,2010,17
"Columbia Heights","Single Family Home",10,1530,0.4,0.15,0.66,1122586,1958,13.3
"Deanwood","Condominium",14,806,0.25,0.45,0.93,1810382,1967,19.5
"Foggy Bottom","Condominium",25,1097,0.69,0.99,0.55,1844690,1996,8
"Woodley Park","Single Family Home",23,1176,0.6,0.47,0.16,1735914,1993,15.5
"Deanwood","Townhouse",34,1243,0.17,0.28,0.15,1441297,1971,10.7
"Foggy Bottom","Condominium",15,1337,0.55,0.41,0.96,1889136,1970,24.2
"Capitol Hill","Condominium",6,986,0.53,0.96,0.4,798147,1974,16.5
"Shaw","Single Family Home",10,1308,0.28,0.59,0.25,946283,1979,8.7
"Logan Circle","Single Family Home",12,1290,0.5,0.26,0.4,NA,1991,14.5
"Van Ness","Single Family Home",32,1180,0.14,1,0.44,1813495,1975,8.4
"Van Ness","Townhouse",6,1479,0.17,0.27,0.33,1308452,2008,23.7
"Van Ness","Single Family Home",23,1236,0.83,0.51,0.96,867359,1995,16.8
"Trinidad","Townhouse",11,935,0.71,0.42,0.66,1008941,1966,13.5
"Southwest Waterfront","Townhouse",9,1277,0.44,0.69,0.74,1197720,1990,18.6
"Congress Heights","Condominium",37,1340,0.38,0.37,0.51,998021,2015,12.6
"Woodley Park","Townhouse",7,1285,0.9,0.72,0.64,655508,1950,9.6
"Georgetown","Townhouse",19,1259,0.78,0.52,0.71,1398495,2005,23.6
"Kingman Park","Condominium",31,866,0.34,0.15,0.72,739501,2020,7.7
"Dupont Circle","Townhouse",7,1471,0.18,0.81,0.46,1640153,2008,16.8
"Mount Pleasant","Single Family Home",30,1200,0.57,0.95,0.3,NA,1957,13.6
"Brookland","Townhouse",23,1436,0.11,0.14,0.67,1417294,1986,9.4
"Adams Morgan","Condominium",31,1296,0.54,0.46,0.83,1954841,2011,16.2
"Adams Morgan","Single Family Home",6,1067,0.41,0.47,0.36,1442807,1966,17.8
"Deanwood","Townhouse",34,1167,0.53,0.72,0.34,898275,2015,9.4
"Shaw","Condominium",37,906,0.81,0.36,0.72,1808743,2015,20.5
"Shaw","Condominium",6,844,0.17,1,0.63,1193118,2005,13.7
"Congress Heights","Townhouse",20,1470,0.87,0.16,0.56,1052864,1970,7.4
"Georgetown","Condominium",26,910,0.57,0.27,0.72,1356714,2020,13.1
"Deanwood","Townhouse",32,836,0.6,0.78,0.2,1028768,1986,17.5
"Congress Heights","Townhouse",30,1424,0.33,0.52,0.45,1283596,2010,16.4
"Van Ness","Single Family Home",25,1182,0.57,0.45,0.15,1408643,1976,15.3
"Logan Circle","Single Family Home",16,1204,0.61,0.72,0.74,1715876,2006,22.1
"Columbia Heights","Condominium",33,1500,0.37,0.57,0.93,1603464,1975,21
"Kingman Park","Townhouse",26,1076,0.61,0.76,0.17,1326981,1992,16.5
"Anacostia","Condominium",5,1249,0.86,0.51,0.85,1269973,1961,5.3
"Van Ness","Townhouse",3,1011,0.15,0.65,0.81,1817601,1998,16.4
"Brookland","Townhouse",8,1207,0.29,0.87,0.98,1244142,2007,20.3
"Deanwood","Townhouse",28,1034,0.11,0.42,0.89,1386706,1976,16.3
"Woodley Park","Condominium",23,1502,0.83,0.48,0.42,1598179,1989,20.2
"Brookland","Condominium",31,1428,0.45,0.13,0.77,1972135,1993,19
"Brookland","Townhouse",12,1493,0.47,0.38,0.38,1907887,2001,11.7
"Congress Heights","Townhouse",10,1288,0.71,0.14,0.46,1803048,1993,15.1
"Capitol Hill","Single Family Home",24,1027,0.46,0.21,0.14,1264943,1960,21.8
"Trinidad","Condominium",35,1174,0.67,0.82,0.19,1425588,2014,9.5
"Shaw","Condominium",25,1197,0.64,0.53,0.42,NA,1952,7.4
"Congress Heights","Condominium",17,1106,0.75,0.44,0.15,1734030,1971,5.9
"Trinidad","Condominium",24,1410,0.58,0.76,0.99,685079,1972,14.2
"Petworth","Condominium",10,1414,0.39,0.57,0.32,1472636,1965,20.5
"Shaw","Townhouse",21,1333,0.29,0.32,0.21,597280,2012,24.7
"Deanwood","Single Family Home",37,979,0.52,0.39,0.45,1680397,1993,18.1
"Columbia Heights","Condominium",24,1413,0.86,0.82,0.7,1074360,1999,18.4
"Columbia Heights","Single Family Home",21,1247,0.35,0.79,0.65,512002,1972,16.8
"Shaw","Condominium",10,1136,0.63,0.39,0.71,1274600,1955,16
"Kingman Park","Single Family Home",40,1152,0.78,0.89,0.66,1205590,1965,5.4
"Kingman Park","Single Family Home",31,1136,0.68,0.89,0.13,991035,1962,10.6
"Adams Morgan","Condominium",10,1109,0.29,0.99,0.71,1927317,2004,9.4
"Deanwood","Condominium",35,1250,0.82,0.15,0.88,NA,1955,7.4
"Logan Circle","Townhouse",14,926,0.59,0.74,0.31,751106,1957,24
"Deanwood","Condominium",32,1037,0.35,0.87,0.5,668523,1964,12.7
"Trinidad","Single Family Home",8,1330,0.11,0.28,0.81,896327,1963,12.7
"Deanwood","Condominium",6,1109,0.35,0.54,0.54,1891983,1963,5.2
"Georgetown","Single Family Home",33,916,0.23,0.85,0.46,1509365,1998,13.3
"Shaw","Condominium",21,1044,0.74,0.4,0.25,969938,2010,15.9
"Capitol Hill","Single Family Home",27,924,0.11,0.9,0.24,1017181,1973,11.9
"Petworth","Condominium",29,1094,0.71,0.75,0.68,1006171,1979,12.7
"Trinidad","Single Family Home",33,1283,0.29,0.62,0.34,1616385,1950,8.3
"Trinidad","Townhouse",38,1222,0.52,0.95,0.93,1751816,1961,5.8
"Mount Pleasant","Single Family Home",38,1319,0.64,0.16,0.89,NA,1950,7.5
"Shaw","Townhouse",39,1826,0.84,0.48,0.39,938434,1988,5.5
"Trinidad","Townhouse",36,1235,0.66,0.32,0.88,1768480,1977,19.2
"Van Ness","Condominium",6,1043,0.75,0.24,0.67,1714858,1999,19.6
"Logan Circle","Single Family Home",24,1229,0.58,0.59,0.63,1622190,1976,9.7
"Columbia Heights","Single Family Home",22,1017,0.32,0.47,0.6,1344903,1998,23.7
"Adams Morgan","Condominium",39,983,0.15,0.47,0.28,1697131,1983,9.8
"Dupont Circle","Condominium",39,1105,0.2,0.84,0.27,1397135,2019,12.9
"Southwest Waterfront","Condominium",34,1073,0.19,0.29,0.37,1235905,2013,5.9
"Columbia Heights","Condominium",19,767,0.85,0.57,0.5,874458,1992,19.9
"Columbia Heights","Condominium",23,915,0.79,0.62,0.48,662734,1982,7
"Brookland","Townhouse",9,1768,0.74,0.73,0.11,892459,1983,21.5
"U Street Corridor","Townhouse",11,1463,0.66,0.62,0.84,558359,1998,15.8
"Congress Heights","Condominium",32,928,0.7,0.49,0.56,893541,2013,6.8
"Logan Circle","Single Family Home",14,1109,0.52,0.68,0.68,1559102,2004,17.3
"Shaw","Condominium",28,1121,0.75,0.34,0.74,834013,2006,20.4
"Shaw","Condominium",25,1387,0.31,0.94,0.52,1340720,1969,17.6
"Woodley Park","Single Family Home",6,1597,0.45,0.39,0.44,1695156,2009,24.4
"Mount Pleasant","Townhouse",24,1229,0.74,0.88,0.52,1080487,2018,13.2
"Brookland","Single Family Home",16,1390,0.42,0.42,0.98,630570,2014,11.8
"Petworth","Condominium",34,1201,0.56,0.75,0.3,1724948,1955,20.1
"Capitol Hill","Condominium",33,1318,0.2,0.59,0.65,NA,1960,23.9
"Foggy Bottom","Townhouse",28,1161,0.24,1,0.63,1890024,2002,14.3
"Trinidad","Townhouse",38,1099,0.86,0.58,0.95,891281,1950,12.1
"Congress Heights","Townhouse",6,1122,0.21,0.84,0.11,1571887,2001,16.5
"Petworth","Single Family Home",8,1173,0.59,0.48,0.39,NA,1998,17.4
"Brookland","Single Family Home",11,1279,0.76,0.15,0.79,NA,2005,19.8
"Anacostia","Townhouse",8,1279,0.66,0.53,0.2,796804,1998,23
"Anacostia","Condominium",20,1207,0.49,0.56,0.79,1798500,2008,22.5
"Dupont Circle","Single Family Home",7,1093,0.46,0.45,0.21,537313,1975,22.4
"Logan Circle","Townhouse",36,1109,0.47,0.77,0.41,1807951,2006,7.7
"Shaw","Single Family Home",4,1360,0.28,0.86,0.71,852407,1993,24
"Woodley Park","Townhouse",12,860,0.42,0.49,0.93,1618631,1962,15
"Anacostia","Condominium",9,1372,0.81,0.37,0.91,1505815,1968,14.7
"Dupont Circle","Single Family Home",4,1183,0.15,0.93,0.11,564284,1980,5.2
"Van Ness","Townhouse",34,1275,0.82,0.93,0.71,1387467,1956,11
"Mount Pleasant","Single Family Home",14,1242,0.65,0.14,0.9,796329,1958,16.7
"Capitol Hill","Townhouse",24,1300,0.52,0.54,0.62,NA,2011,10.5
"Anacostia","Townhouse",32,1165,0.14,0.56,0.51,1035577,1982,14.6
"Georgetown","Condominium",15,1189,0.5,0.25,0.89,1614613,1970,20
"Congress Heights","Single Family Home",25,840,0.82,0.8,1,699395,1997,19.2
"Woodley Park","Townhouse",33,1139,0.14,0.67,0.66,904953,1964,14.3
"Dupont Circle","Condominium",11,1423,0.32,0.72,0.5,1576612,2005,7.5
"Petworth","Single Family Home",26,1388,0.35,0.13,0.76,1024737,1975,20.9
"Mount Pleasant","Single Family Home",18,1153,0.25,0.43,0.55,1748790,1954,7
"Petworth","Single Family Home",24,1472,0.26,0.74,0.57,1378850,1999,6.7
"Logan Circle","Condominium",20,1293,0.62,0.75,0.37,1897784,1997,17
"Deanwood","Townhouse",27,1213,0.63,0.12,0.26,864194,1988,17.6
"Mount Pleasant","Single Family Home",32,1441,0.85,0.33,0.7,1607458,2000,24.4
"Van Ness","Condominium",16,1192,0.44,0.21,0.39,1278798,1952,8.1
"Brookland","Single Family Home",38,1474,0.82,0.66,0.13,1456473,1976,7
"Van Ness","Townhouse",16,1509,0.6,0.64,0.12,593635,2016,23.7
"Columbia Heights","Single Family Home",35,1120,0.77,0.89,0.78,1812334,1971,18.2
"Shaw","Townhouse",39,1155,0.85,0.39,0.97,857554,1950,5.7
"Trinidad","Single Family Home",19,1346,0.53,0.33,0.31,1518604,2001,20
"Deanwood","Condominium",22,1015,0.3,0.66,0.81,1008201,1956,19.2
"Columbia Heights","Single Family Home",12,1198,0.35,0.74,0.19,1733214,2010,12.8
"Capitol Hill","Condominium",7,1335,0.25,0.46,0.31,1349723,2008,22.1
"Adams Morgan","Condominium",32,869,0.58,0.55,0.42,1258333,2001,9.5
"Petworth","Single Family Home",30,1423,0.42,0.48,0.25,1227742,2015,17.2
"Anacostia","Townhouse",31,1214,0.72,0.45,0.86,873936,2014,24.1
"Adams Morgan","Single Family Home",14,1411,0.55,0.62,0.43,784389,1955,22.8
"Southwest Waterfront","Townhouse",6,996,0.21,0.96,0.96,1236793,1985,9.8
"Brookland","Single Family Home",24,1161,0.65,0.56,0.51,790361,1993,9.4
"Shaw","Condominium",39,1227,0.51,0.17,0.75,1896238,1965,20.7
"Woodley Park","Townhouse",8,1269,0.56,0.54,0.78,1006661,1954,7.3
"Shaw","Condominium",13,1069,0.38,0.3,0.68,1725330,2006,23.7
"Shaw","Condominium",31,1341,0.13,0.91,0.65,603571,1962,17.5
"Trinidad","Single Family Home",10,1305,0.87,0.59,0.73,1141259,1962,10.6
"Southwest Waterfront","Single Family Home",3,1317,0.46,0.59,0.65,975575,1999,20.7
"Adams Morgan","Condominium",30,1287,0.21,0.95,0.69,NA,1960,9.6
"Southwest Waterfront","Townhouse",13,1289,0.22,0.79,0.37,979187,1980,19.1
"Mount Pleasant","Condominium",26,1181,0.65,0.83,0.38,950262,1982,13.8
"Capitol Hill","Townhouse",36,1403,0.75,0.24,0.41,1984121,1977,24.8
"Dupont Circle","Townhouse",32,1000,0.14,1,0.93,1061609,1991,15.7
"Columbia Heights","Single Family Home",34,1290,0.76,0.8,0.27,1635372,1958,7.9
"Petworth","Townhouse",30,1292,0.77,0.96,0.76,902942,2020,11.9
"Georgetown","Single Family Home",35,1236,0.11,0.4,0.93,1003479,1962,13.8
"Petworth","Single Family Home",9,1176,0.3,0.69,0.3,1010638,1973,13.3
"Anacostia","Condominium",35,1324,0.41,0.92,0.69,1759117,1959,9.1
"Dupont Circle","Single Family Home",7,1023,0.74,0.32,0.55,NA,1971,19.1
"Congress Heights","Condominium",12,1410,0.33,0.92,0.48,1129713,2009,14.1
"Brookland","Townhouse",31,1350,0.13,0.9,0.7,NA,2013,5.4
"Petworth","Townhouse",4,1266,0.52,0.55,0.99,1803270,2015,10.7
"Anacostia","Single Family Home",25,1056,0.36,0.56,0.76,NA,2011,17.7
"Foggy Bottom","Single Family Home",12,911,0.12,0.22,0.24,1570747,1961,23.9
"U Street Corridor","Single Family Home",23,1291,0.71,0.84,0.32,869530,1974,10.7
"Southwest Waterfront","Condominium",34,1113,0.63,0.1,0.81,599782,1977,6.3
"Adams Morgan","Townhouse",38,1065,0.37,0.98,0.76,1128465,2019,15.7
"Mount Pleasant","Townhouse",37,1214,0.81,0.97,0.42,1741239,2004,9.1
"Logan Circle","Single Family Home",8,1374,0.78,0.33,0.64,954540,1992,21.1
"Mount Pleasant","Condominium",7,1250,0.42,0.84,0.77,1057618,2016,8.5
"Adams Morgan","Townhouse",29,1206,0.22,0.75,0.54,NA,2010,16
"Kingman Park","Condominium",5,1126,0.7,0.53,0.47,520199,2003,13.5
"Woodley Park","Single Family Home",34,1143,0.21,0.5,0.8,1782969,1974,15.4
"Trinidad","Single Family Home",14,1167,0.7,0.52,0.55,713410,2010,8.7
"Capitol Hill","Townhouse",3,1191,0.48,0.37,0.34,1743166,1993,22.1
"Congress Heights","Townhouse",12,1130,0.46,0.83,0.68,1724728,1981,17.7
"Shaw","Condominium",13,842,0.61,0.86,0.3,817395,1996,23.3
"Brookland","Condominium",13,1247,0.61,0.74,0.82,NA,1957,16.2
"Kingman Park","Townhouse",19,1262,0.67,0.89,0.62,878453,1955,6
"Brookland","Townhouse",9,1490,0.86,0.27,0.61,1319767,2003,23
"U Street Corridor","Condominium",5,823,0.6,0.18,0.95,688620,1978,18.4
"Logan Circle","Single Family Home",13,1163,0.83,0.3,0.55,1852502,1978,24.4
"Kingman Park","Townhouse",26,1199,0.71,0.54,0.26,1873589,1980,19
"Southwest Waterfront","Single Family Home",27,923,0.55,0.19,0.67,1504353,1959,23.2
"Georgetown","Condominium",22,946,0.39,0.38,0.93,934696,1952,14.9
"Capitol Hill","Condominium",11,1289,0.2,0.26,0.27,NA,1956,11.8
"Petworth","Townhouse",4,1277,0.44,0.74,0.52,1974904,1963,7.5
"Van Ness","Single Family Home",33,1034,0.78,0.75,0.25,1596816,2000,5.7
"Trinidad","Single Family Home",20,1252,0.2,0.76,0.8,1632835,1998,11.3
"Logan Circle","Townhouse",25,1122,0.3,0.19,0.67,1945702,1971,14.4
"Shaw","Townhouse",36,1411,0.36,0.81,0.54,1385956,1964,14.1
"Georgetown","Townhouse",33,1073,0.57,0.43,0.44,1453037,1981,23.4
"Congress Heights","Single Family Home",28,1453,0.41,0.91,0.85,1436722,2019,14.2
"Shaw","Townhouse",7,1075,0.31,0.47,0.38,1214426,1979,14.1
"Congress Heights","Condominium",38,1059,0.32,0.35,0.4,NA,1961,21.3
"Petworth","Townhouse",13,1161,0.76,0.85,0.87,1442850,2007,12.1
"Van Ness","Condominium",40,1390,0.16,0.56,0.23,674882,1976,16
"Van Ness","Townhouse",24,1389,0.27,0.17,0.82,1667522,1980,19.4
"Georgetown","Townhouse",5,1337,0.64,0.57,0.15,1390278,2007,7.1
"Brookland","Single Family Home",31,1006,0.21,0.29,0.19,NA,1983,13.1
"Shaw","Single Family Home",10,1474,0.3,0.94,0.1,696907,2009,24.3
"Georgetown","Condominium",39,1536,0.24,0.36,0.56,NA,2004,10
"Dupont Circle","Single Family Home",15,1034,0.62,0.36,0.74,1385883,1972,9.5
"Anacostia","Single Family Home",28,1047,0.65,0.31,0.96,NA,2007,9.2
"Anacostia","Single Family Home",28,927,0.79,0.36,0.84,745517,2019,11.8
"Capitol Hill","Townhouse",13,1001,0.61,0.53,0.16,1623689,1981,23.9
"Petworth","Condominium",40,1240,0.58,0.2,0.73,680996,2008,15.8
"Congress Heights","Townhouse",14,854,0.8,0.79,0.58,NA,1978,8.7
"Trinidad","Condominium",10,986,0.83,0.42,0.29,779993,1989,7.6
"Trinidad","Single Family Home",21,1317,0.84,0.71,0.91,1884514,1961,6.6
"Capitol Hill","Single Family Home",16,822,0.81,0.79,0.65,1892922,1952,22.6
"U Street Corridor","Single Family Home",6,1569,0.58,0.16,1,1062176,2010,19.2
"Trinidad","Single Family Home",30,1442,0.81,0.61,0.57,945790,1955,10.9
"Petworth","Condominium",5,1186,0.89,0.17,0.29,949989,1988,13.3
"Congress Heights","Condominium",10,1357,0.15,0.87,0.5,1032619,1964,20.3
"Mount Pleasant","Single Family Home",27,1068,0.14,0.96,0.14,NA,1993,14
"Anacostia","Townhouse",13,989,0.15,0.5,0.82,NA,1963,13.9
"Congress Heights","Townhouse",20,1273,0.79,0.15,0.91,1492764,1980,21.1
"Foggy Bottom","Condominium",22,1288,0.85,0.15,0.88,1499436,1954,15.7
"Southwest Waterfront","Single Family Home",9,1375,0.28,0.2,0.89,1560281,1997,12.7
"Dupont Circle","Single Family Home",14,1404,0.63,0.48,0.24,1696063,1967,11
"Southwest Waterfront","Condominium",12,912,0.55,0.68,0.31,NA,1951,12.7
"Woodley Park","Condominium",17,1002,0.76,0.62,0.49,NA,1980,21.1
"Adams Morgan","Single Family Home",19,1056,0.43,0.13,0.48,962220,2001,12.7
"Brookland","Condominium",40,1032,0.69,0.85,0.62,1393978,1978,11.8
"Deanwood","Single Family Home",22,834,0.13,0.14,0.75,1245050,1975,8.5
"Shaw","Single Family Home",27,1414,0.57,0.82,0.32,1087330,1958,15.6
"Woodley Park","Townhouse",26,1425,0.78,0.47,0.52,1667641,1950,7.1
"Woodley Park","Condominium",26,1072,0.85,1,0.18,814215,2013,10.3
"Petworth","Single Family Home",4,1539,0.62,0.61,0.76,1947942,1959,24.7
"Mount Pleasant","Single Family Home",24,756,0.51,0.96,0.9,1976823,1983,11.9
"Brookland","Townhouse",26,1474,0.76,0.36,0.96,1264670,1963,10.5
"Southwest Waterfront","Single Family Home",36,1094,0.41,0.53,0.23,1645164,2011,11.5
"Van Ness","Single Family Home",21,1280,0.13,0.78,0.38,915344,1969,19.3
"Southwest Waterfront","Townhouse",5,952,0.31,0.25,0.55,654700,1986,24.6
"Shaw","Townhouse",13,1167,0.49,0.95,0.48,701432,1951,24.6
"Congress Heights","Condominium",5,1418,0.89,0.69,0.57,1843415,1989,18.6
"Capitol Hill","Single Family Home",34,1207,0.14,0.23,0.59,1056151,1954,10.1
"U Street Corridor","Townhouse",25,1330,0.22,0.12,0.84,542649,1959,8.4
"Brookland","Single Family Home",35,1219,0.22,0.85,0.72,822856,1991,6.9
"U Street Corridor","Townhouse",35,1230,0.2,0.13,0.71,1199846,1988,20.8
"Trinidad","Condominium",38,1238,0.82,0.92,0.66,1239561,1965,18.5
"Southwest Waterfront","Townhouse",16,1453,0.67,0.84,0.43,1326139,2019,5.3
"Shaw","Single Family Home",13,1112,0.21,0.19,0.44,1901643,1956,7.4
"Brookland","Condominium",29,1225,0.72,0.99,0.56,833065,1998,9.8
"Foggy Bottom","Townhouse",24,1251,0.65,0.74,0.63,NA,1974,15.9
"Kingman Park","Single Family Home",16,NA,0.74,0.6,0.28,1242414,1987,14.3
"Woodley Park","Single Family Home",5,1303,0.77,0.93,0.6,NA,1993,19.7
"Kingman Park","Single Family Home",28,1266,0.3,0.48,0.78,906189,1970,24.5
"Deanwood","Condominium",12,1172,0.57,0.95,0.75,NA,1968,6.8
"Shaw","Townhouse",40,1089,0.31,0.6,0.13,1519180,1991,19.1
"Petworth","Townhouse",20,932,0.37,0.29,0.48,NA,2004,13.3
